City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
450,Baker City,US,93.6,clear sky,44.7749,-117.8344,Bridge Street Inn
454,Medea,DZ,75.25,clear sky,36.2642,2.7539,Hôtel M'Sallah
455,Iracoubo,GF,81.21,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
456,Fougamou,GA,76.8,scattered clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
458,Mazamari,PE,76.89,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
460,Prince Rupert,CA,75.29,clear sky,54.3161,-130.3201,Crest Hotel
461,Bandarbeyla,SO,75.99,scattered clouds,9.4942,50.8122,JABIR HOTEL
462,Kununurra,AU,73.38,few clouds,-15.7667,128.7333,Hotel Kununurra
465,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
466,Sampit,ID,72.52,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
467,Jieshi,CN,83.19,clear sky,22.8134,115.8257,Yuehai Hotel
468,Jacona,US,92.39,few clouds,35.8906,-106.0422,Hotel At Cities of Gold
470,Pringsewu,ID,72.05,overcast clouds,-5.3582,104.9744,Urban Style by Front One
471,Pafos,CY,76.78,clear sky,34.7667,32.4167,Elysium Hotel
473,Redlands,US,99.41,few clouds,34.0556,-117.1825,Dynasty Suites Redlands
474,Mogadishu,SO,75.61,light rain,2.0371,45.3438,Hotel Juba
476,Umm Lajj,SA,85.84,few clouds,25.0213,37.2685,Moon light Furnished Units
477,Angoche,MZ,71.04,few clouds,-16.2325,39.9086,Guest House HESADA
480,Sabha,LY,85.86,scattered clouds,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
481,Olinda,BR,73.13,mist,-8.0089,-34.8553,Flat Quatro Rodas Olinda
488,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
489,Ambulu,ID,72.14,clear sky,-8.345,113.6058,Hotel Ambulu Jember
490,Soyo,AO,70.18,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
492,Urumqi,CN,74.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
495,Sioux Lookout,CA,71.67,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
496,Santa Cruz,BO,86.05,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
501,Broome,US,80.71,broken clouds,42.2506,-75.833,Chenango Valley State Park
502,Aksu,CN,83.8,clear sky,41.1231,80.2644,Pudong Holiday Hotel
503,Bar Harbor,US,78.35,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
504,Georgiyevka,KZ,71.64,clear sky,43.0369,74.7114,Gostinitsa Imperiya
507,Southbridge,US,79.43,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
508,Toba,JP,78.8,heavy intensity rain,34.4833,136.85,ホテル アルティア鳥羽
510,Pangai,TO,75.9,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
512,Afogados Da Ingazeira,BR,76.59,overcast clouds,-7.7508,-37.6392,Hotel Brotas
513,Alta Floresta,BR,91.87,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
514,Hit,IQ,92.23,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
515,Asyut,EG,87.85,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
517,Fredericksburg,US,81.75,broken clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
520,Teloloapan,MX,74.77,broken clouds,18.35,-99.85,Hotel Las Palmas
524,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
525,Kavaratti,IN,81.18,overcast clouds,10.5669,72.642,Green leaf
526,Matara,LK,77.07,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
527,Qianjiang,CN,79.2,overcast clouds,30.4151,112.8859,Shell Qianjiang City Qianjiang bus station Hotel
528,Russell,US,92.48,overcast clouds,32.3502,-85.1999,Macs
529,Milton,US,93.06,overcast clouds,34.1322,-84.3007,Pine Ridge Manufactured House
531,Westport,US,84.72,clear sky,41.1415,-73.3579,The Westport Inn
533,Arrecife,ES,78.78,clear sky,28.963,-13.5477,Hotel Lancelot
535,Bartica,GY,88.12,scattered clouds,6.4,-58.6167,Sloth Island Nature Resort
536,Hatta,IN,76.93,overcast clouds,24.1167,79.6,Agrawal Marriage Garden Bharat Tent House
537,Caracuaro,MX,86.86,broken clouds,19.0106,-101.1264,Hotel Juana
538,Hamilton,US,78.24,haze,39.1834,-84.5333,Six Acres Bed & Breakfast
540,Fallon,US,101.91,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
541,Gigmoto,PH,79.88,overcast clouds,13.7796,124.39,Cj's Travellers Inn
543,Leiyang,CN,79.39,scattered clouds,26.4024,112.8591,Dongyang Hotel
545,Les Cayes,HT,85.37,scattered clouds,18.2,-73.75,Villa Orphee
547,Qalyub,EG,86.79,clear sky,30.1792,31.2056,كمال فهمى محمد فهمى
548,Paramirim,BR,72.46,broken clouds,-13.4425,-42.2389,Pousada Rio Pequeno
549,Banda Aceh,ID,77.52,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
550,Sunrise Manor,US,98.69,scattered clouds,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
551,Pedernales,DO,91.44,clear sky,18.0384,-71.744,Hotel Costa Marina
559,Jardim,BR,84.65,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
560,Tucuman,AR,80.6,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
561,Teseney,ER,73.67,overcast clouds,15.11,36.6575,Sabrin Hotel
564,Huilong,CN,80.92,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
565,Praia Da Vitoria,PT,75.76,few clouds,38.7333,-27.0667,Hotel Branco I
566,Auki,SB,79.16,scattered clouds,-8.7676,160.7034,Auki Motel
567,Nabire,ID,74.05,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
568,Bidor,MY,75.92,overcast clouds,4.1139,101.2884,Hotel Bidor mk
569,Sakaiminato,JP,78.78,scattered clouds,35.55,133.2333,Italian pasley
570,Alberton,CA,77.13,broken clouds,46.8168,-64.0654,La Petite France B&B
572,Ankpa,NG,71.83,overcast clouds,7.3706,7.6253,AA Suites
573,Tarrafal,CV,81.39,overcast clouds,15.2833,-23.7667,Hotel Ixola
574,Atar,MR,88.65,moderate rain,20.5169,-13.0499,Oumou Elghoura
575,Martapura,ID,77.09,mist,-3.4167,114.85,Montana Hotel Syariah
577,Nam Phong,TH,82.09,clear sky,16.7023,102.8557,Koon Garden Resort
579,Coruripe,BR,73.8,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
580,Rawatsar,IN,88.29,scattered clouds,29.2833,74.3833,Honda Service Center
582,Bambanglipuro,ID,70.93,scattered clouds,-7.95,110.2833,Puri Brata
584,Dawlatabad,AF,87.67,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
586,Isangel,VU,74.34,overcast clouds,-19.55,169.2667,Tanna Lodge
588,Iberia,US,86.97,light rain,29.9502,-91.7507,back to back rv park
589,Sabaudia,IT,79.2,clear sky,41.3003,13.0282,Oasi di Kufra
592,Pacific Grove,US,76.21,clear sky,36.6177,-121.9166,Lovers Point Inn
593,Sassandra,CI,74.52,broken clouds,4.95,-6.0833,la terrasse
594,Ures,MX,90.03,overcast clouds,29.4333,-110.4,HOTEL SAHUARO HOUSE
596,Portland,US,100.67,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
597,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
599,Mariel,CU,75.34,broken clouds,22.9875,-82.7536,Casa De Alojamiento Marilda
601,Rota,ES,81.21,clear sky,36.6224,-6.3586,Hotel Duque de Nájera
603,Nam Som,TH,79.03,clear sky,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
605,Laguna,US,96.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
607,Salo,IT,84.29,moderate rain,45.6086,10.531,Park Hotel Casimiro Village - Blu Hotels
612,Port Townsend,US,93.18,clear sky,48.117,-122.7605,Aladdin Inn
613,Benxi,CN,71.92,clear sky,41.2886,123.765,Yaju Business Hotel
614,Atasu,KZ,77.43,scattered clouds,48.6814,71.6433,Dostyk
